Subfolder,Deal,Seat,Bid,BidSequence,NorthHand,EastHand,SouthHand,WestHand
Bidpractice/Set3,16,West,Calm,Calm,S:A94 H:A7 D:K83 C:KJ962,,S:KQ7 H:KQJ3 D:AT6 C:QT8,
Bidpractice/Set3,17,West,Calm,Calm,S:K973 H:842 D:AK5 C:J76,,S:AQ862 H:J53 D:74 C:KQ2,
Bidpractice/Set3,18,West,Calm,Calm,S:73 H:Q8642 D:A86 C:K95,,S:T82 H:AK753 D:KQ5 C:Q6,
Bidpractice/Set3,19,West,Calm,Calm,S:QJ75 H:A D:AKQ3 C:KT62,,S:KT83 H:J72 D:986 C:QJ3,
Bidpractice/Set3,20,West,Calm,Calm,S:T963 H:754 D:Q7 C:AK64,,S:KQJ74 H:KQ2 D:AJ6 C:93,
Bidpractice/Set3,21,West,Calm,Calm,S:KJ3 H:KQ5 D:AQJ C:KJ42,,S:QT8 H:AJ6 D:KT93 C:QT5,
Bidpractice/Set3,22,West,Calm,Calm,S:JT4 H:AJ6 D:K53 C:T872,,S:965 H:KQ2 D:A87 C:KQJ3,
Bidpractice/Set3,23,West,Calm,Calm,S:QT82 H:AK D:764 C:AKQ5,,S:J975 H:642 D:AKJ C:742,
Bidpractice/Set3,24,West,Calm,Calm,S:543 H:A72 D:KT65 C:985,,S:KQJ H:KQ8 D:QJ93 C:AK2,
Bidpractice/Set4,1,West,Calm,Calm,S:KQ7 H:AT4 D:K9 C:QJT85,,S:AT92 H:Q973 D:AQ4 C:96,
Bidpractice/Set4,2,West,Calm,Calm,S:KJ8754 H:86 D:KQ3 C:72,,S:QT H:KQ93 D:A52 C:AT86,
Bidpractice/Set4,3,West,Calm,Calm,S:K75 H:Q93 D:K75 C:AKJ3,,S:643 H:AKJ765 D:82 C:Q7,
Bidpractice/Set4,4,West,Calm,Calm,S:73 H:KQ86 D:K42 C:JT95,,S:AK65 H:AT4 D:QJ97 C:K8,
Bidpractice/Set4,5,West,Calm,Calm,S:KJ4 H:QT D:KQJ6 C:A973,,S:A9 H:AJ983 D:752 C:J86,
Bidpractice/Set4,6,West,Calm,Calm,S:Q87632 H:85 D:954 C:53,,S:KJ5 H:A76 D:A83 C:KQ94,
Bidpractice/Set4,7,West,Calm,Calm,S:Q63 H:QT92 D:A76 C:AK3,,S:AK72 H:AJ86 D:53 C:T84,
Bidpractice/Set4,8,West,Calm,Calm,S:K974 H:K862 D:73 C:865,,S:AQ82 H:AQ3 D:KT62 C:AQ,
Bidpractice/Set4,9,West,Calm,Calm,S:AJT H:K9 D:A872 C:AT96,,S:Q9874 H:AJT83 D:Q6 C:5,
Bidpractice/Set4,10,West,Calm,Calm,S:KQ542 H:87 D:A8 C:Q764,,S:A96 H:KQ62 D:K532 C:K8,
Bidpractice/Set4,11,West,Calm,Calm,S:K86 H:A93 D:KQ8 C:AKJ2,,S:74 H:KQJ7542 D:A92 C:9,
Bidpractice/Set4,12,West,Calm,Calm,S:K985 H:Q7 D:K87 C:J965,,S:A6 H:KJ53 D:A654 C:KT7,
Bidpractice/Set4,13,West,Calm,Calm,S:A75 H:QJ6 D:AK52 C:QT9,,S:K9864 H:AK53 D:J8 C:64,
Bidpractice/Set4,14,West,Calm,Calm,S:Q865 H:K764 D:A32 C:54,,S:AK73 H:QJ2 D:J5 C:KQJ6,
Bidpractice/Set4,15,West,Calm,Calm,S:KQ H:AQ75 D:KT9 C:QJ84,,S:JT8765 H:9 D:AQ5 C:T72,
Bidpractice/Set4,16,West,Calm,Calm,S:Q742 H:QJT75 D:K6 C:83,,S:KJ5 H:AK6 D:AQ2 C:T762,
Bidpractice/Set4,17,West,Calm,Calm,S:Q742 H:QJT75 D:K7 C:83,,S:AKJ5 H:K6 D:AQ62 C:T72,
Bidpractice/Set4,18,West,Calm,Calm,S:Q742 H:QJT75 D:K7 C:83,,S:AK5 H:K6 D:AQ62 C:JT72,
Bidpractice/Set4,19,West,Calm,Calm,S:KJ H:AK6 D:J953 C:KJ96,,S:QT8654 H:Q753 D:7 C:AQ,
Bidpractice/Set4,20,West,Calm,Calm,S:KQ3 H:QT9843 D:K5 C:A5,,S:A7 H:KJ65 D:A84 C:KQT8,
Bidpractice/Set4,21,West,Calm,Calm,S:Q965 H:AQ93 D:KQ8 C:A6,,S:KJT3 H:K5 D:A93 C:8742,
Bidpractice/Set4,22,West,Calm,Calm,S:J974 H:Q862 D:T876 C:4,,S:AT6 H:AK74 D:AQ53 C:T9,
Bidpractice/Set4,23,West,Calm,Calm,S:AQ62 H:KJ8 D:A62 C:K87,,S:KJ73 H:Q95 D:KT4 C:Q93,
Bidpractice/Set4,24,West,Calm,Calm,S:QT864 H:Q73 D:A6 C:T84,,S:KJ7 H:KJ54 D:KQ73 C:A5,
Bidpractice/Set5,1,West,Calm,Calm,S:AK9873 H:82 D:986 C:J4,,S:QJ2 H:K975 D:KQ2 C:Q53,
Bidpractice/Set5,2,West,Calm,Calm,S:AK9873 H:82 D:986 C:J4,,S:QJ2 H:AK75 D:A72 C:A53,
Bidpractice/Set5,3,West,Calm,Calm,S:AK9873 H:82 D:986 C:J4,,S:QJ62 H:75 D:A72 C:Q753,
Bidpractice/Set5,4,West,Calm,Calm,S:KQ76 H:A62 D:53 C:AQ83,,S:43 H:85 D:KQJ9862 C:97,
Bidpractice/Set5,5,West,Calm,Calm,S:87 H:KQJ9732 D:5 C:864,,S:AJT643 H:A D:AK64 C:97,
Bidpractice/Set5,6,West,Calm,Calm,S:K4 H:KJ5 D:942 C:KQJ72,,S:AQJ9765 H:QT2 D:7 C:63,
Bidpractice/Set5,7,West,Calm,Calm,S:764 H:AK9743 D:72 C:Q5,,S:KQ H:QJ D:AKQ65 C:KJ42,
Bidpractice/Set5,8,West,Calm,Calm,S:AQ5 H:4 D:KQ94 C:KJ742,,S:J83 H:KQJ762 D:85 C:85,
Bidpractice/Set5,9,West,Calm,Calm,S:K84 H:AQT642 D:4 C:965,,S:AQJT65 H:7 D:A95 C:KJ3,
Bidpractice/Set5,10,West,Calm,Calm,S:AK75 H:K63 D:KQJ54 C:A,,S:6 H:AQJ8754 D:632 C:84,
Bidpractice/Set5,11,West,Calm,Calm,S:J3 H:76 D:97 C:KQ98752,,S:AQT H:KQJ D:QJT3 C:AJT,
Bidpractice/Set5,12,West,Calm,Calm,S:AQ63 H:Q82 D:AKQ C:KQJ,,S:J4 H:KJT963 D:875 C:42,
Bidpractice/Set5,13,West,Calm,Calm,S:KQ9862 H:864 D:94 C:K6,,S:JT3 H:AK53 D:AQ732 C:4,
Bidpractice/Set5,14,West,Calm,Calm,S:A64 H:Q42 D:AJ4 C:AK65,,S:73 H:K53 D:KQT872 C:94,
Bidpractice/Set5,15,West,Calm,Calm,S:975 H:76 D:AKQ962 C:83,,S:KQ8 H:AK8 D:J43 C:AT65,
Bidpractice/Set5,16,West,Calm,Calm,S:T92 H:A8743 D:3 C:AK92,,S:KQJ8753 H:2 D:754 C:J5,
Bidpractice/Set5,17,West,Calm,Calm,S:AK8762 H:83 D:83 C:K65,,S:Q9 H:J75 D:A96 C:AQJ42,
Bidpractice/Set5,18,West,Calm,Calm,S:QJ83 H:T6 D:KJ4 C:KQJ4,,S:65 H:AQJ8753 D:975 C:5,
Bidpractice/Set5,19,West,Calm,Calm,S:54 H:863 D:AKQ974 C:85,,S:KQJ H:AK7 D:J63 C:AK42,
Bidpractice/Set5,20,West,Calm,Calm,S:KJ6 H:AQJ42 D:964 C:A5,,S:AQ9752 H:K3 D:852 C:73,
Bidpractice/Set5,21,West,Calm,Calm,S:AQ9864 H:53 D:873 C:72,,S:KJ3 H:AQJ42 D:964 C:A5,
Bidpractice/Set5,22,West,Calm,Calm,S:A63 H:AKQJ742 D:A8 C:4,,S:5 H:8 D:9753 C:KQJ9863,
Bidpractice/Set5,23,West,Calm,Calm,S:QJT742 H:KQ72 D:52 C:9,,S:K3 H:AJ963 D:AQ7 C:864,
Bidpractice/Set5,24,West,Calm,Calm,S:AQ3 H:AJT D:K754 C:QT4,,S:62 H:742 D:AJT832 C:K7,
Bidpractice/Set6,1,West,Calm,Calm,S:AK9 H:AK2 D:A83 C:AJ74,,S:872 H:754 D:J642 C:953,
Bidpractice/Set6,2,West,Calm,Calm,S:K73 H:Q82 D:T986 C:542,,S:A82 H:AK75 D:KQJ C:KQT,
Bidpractice/Set6,3,West,Calm,Calm,S:K3 H:KQJ2 D:AQ98 C:AK4,,S:QJT72 H:A5 D:742 C:653,
Bidpractice/Set6,4,West,Calm,Calm,S:A3 H:T982 D:986 C:8764,,S:KQ2 H:AKQ75 D:A72 C:AT,
Bidpractice/Set6,5,West,Calm,Calm,S:AJ87 H:AK D:A86 C:AKQJ,,S:Q62 H:9753 D:Q52 C:953,
Bidpractice/Set6,6,West,Calm,Calm,S:642 H:754 D:J72 C:8653,,S:A73 H:AKQ862 D:86 C:AK,
Bidpractice/Set6,7,West,Calm,Calm,S:AK63 H:AK82 D:KQJ C:KQ,,S:42 H:QJ975 D:A52 C:753,
Bidpractice/Set6,8,West,Calm,Calm,S:AJ983 H:K72 D:6 C:A874,,S:KQT2 H:AQJT5 D:AK2 C:K,
Bidpractice/Set6,9,West,Calm,Calm,S:KQ86 H:AKJ2 D:AKQ C:86,,S:AJT72 H:987 D:82 C:Q53,
Bidpractice/Set6,10,West,Calm,Calm,S:K63 H:Q85 D:K764 C:953,,S:AQ9 H:AK2 D:A83 C:AJ74,
Bidpractice/Set6,11,West,Calm,Calm,S:AK9 H:AJ82 D:A6 C:AK93,,S:QJ72 H:QT75 D:72 C:854,
Bidpractice/Set6,12,West,Calm,Calm,S:Q63 H:Q85 D:K764 C:KJ3,,S:AK9 H:AK2 D:A83 C:AQ74,
Bidpractice/Set6,13,West,Calm,Calm,S:AKQ86 H:AKT82 D:A C:86,,S:72 H:9753 D:Q742 C:Q93,
Bidpractice/Set6,14,West,Calm,Calm,S:K73 H:982 D:AQJ86 C:J2,,S:AQ2 H:AKQ5 D:K75 C:KQT,
Bidpractice/Set6,15,West,Calm,Calm,S:K6 H:AKQJ2 D:KQJ C:KQJ,,S:AT972 H:975 D:852 C:A3,
Bidpractice/Set6,16,West,Calm,Calm,S:J42 H:8752 D:J72 C:K63,,S:AKQT3 H:AK6 D:86 C:AQ4,
Bidpractice/Set6,17,West,Calm,Calm,S:AQ H:KQJ2 D:AQ98 C:AK4,,S:KJ72 H:A75 D:J42 C:653,
Bidpractice/Set6,18,West,Calm,Calm,S:7 H:KQJ832 D:986 C:874,,S:KQJ82 H:A5 D:AK2 C:AK2,
Bidpractice/Set6,19,West,Calm,Calm,S:KQ87 H:AKQ2 D:AKJ6 C:6,,S:AJT5 H:85 D:Q72 C:KQ53,
Bidpractice/Set6,20,West,Calm,Calm,S:2 H:QJ52 D:9872 C:T763,,S:AKQ63 H:AKT96 D:T6 C:A,
Bidpractice/Set6,21,West,Calm,Calm,S:QT85 H:AK6 D:AK8 C:KQJ,,S:KJ2 H:Q75 D:QT72 C:753,
Bidpractice/Set6,22,West,Calm,Calm,S:K987 H:QJ82 D:986 C:74,,S:AQJ2 H:AK5 D:KQ73 C:A6,
Bidpractice/Set6,23,West,Calm,Calm,S:A8 H:KQ4 D:AKQJ86 C:K4,,S:K72 H:A975 D:T72 C:A53,
Bidpractice/Set6,24,West,Calm,Calm,S:973 H:62 D:QJ9863 C:A4,,S:8 H:AKQ5 D:AK72 C:KQJ3,
Bidpractice/Set7,1,West,Calm,Calm,S:AKQ983 H:2 D:AK C:KQJ8,,S:J742 H:KQ54 D:82 C:753,
Bidpractice/Set7,2,West,Calm,Calm,S:J3 H:AQT86 D:T3 C:JT74,,S:A64 H:KJ9 D:AKQJ9 C:KQ,
Bidpractice/Set7,3,West,Calm,Calm,S:A97 H:QJ42 D:KQ86 C:A5,,S:KQ H:K6 D:A4 C:KQJ9732,
Bidpractice/Set7,4,West,Calm,Calm,S:AKQ643 H:K5 D:K73 C:AK,,S:J952 H:AJ743 D:AQ C:98,
Bidpractice/Set7,5,West,Calm,Calm,S:AK2 H:KQ65 D:KQJ C:KJ6,,S:J73 H:AJT98 D:832 C:Q8,
Bidpractice/Set7,6,West,Calm,Calm,S:A63 H:KT7 D:A94 C:Q987,,S:KQ4 H:A8 D:KQJT73 C:K5,
Bidpractice/Set7,7,West,Calm,Calm,S:KQ85 H:J63 D:87 C:AQJ4,,S:AJ963 H:A4 D:AQJ6 C:K5,
Bidpractice/Set7,8,West,Calm,Calm,S:A64 H:QJ9874 D:J983 C:,,S:KQJ H:AKT D:KQ2 C:KQ73,
Bidpractice/Set7,9,West,Calm,Calm,S:K5 H:AKT753 D:K7 C:J96,,S:A842 H:QJ86 D:A9863 C:,
Bidpractice/Set7,10,West,Calm,Calm,S: H:A975 D:K9864 C:J932,,S:K53 H:KQJT3 D:A C:KQT6,
Bidpractice/Set7,11,West,Calm,Calm,S:A9864 H:AKQ D:7 C:KJ63,,S:K753 H:J87 D:A865 C:74,
Bidpractice/Set7,12,West,Calm,Calm,S:Q753 H:T942 D:A8 C:KJ4,,S: H:KQJ863 D:KJ2 C:AQ65,
Bidpractice/Set7,13,West,Calm,Calm,S:K62 H:AT9 D:AK3 C:AK84,,S:A7 H:K3 D:QJ98742 C:76,
Bidpractice/Set7,14,West,Calm,Calm,S:J8 H:J72 D:85 C:AKQT96,,S:AKQ H:KQ6 D:KQ3 C:J875,
Bidpractice/Set7,15,West,Calm,Calm,S:K75 H:Q96 D:A983 C:AQ7,,S:AQ6 H:K73 D:K6 C:KT653,
Bidpractice/Set7,16,West,Calm,Calm,S:KQJ4 H:K6 D:K4 C:KQJT5,,S:A876 H:QJ7 D:AJ3 C:A82,
Bidpractice/Set7,17,West,Calm,Calm,S:AK H:AQT96 D:AQJ3 C:AK,,S:972 H:KJ53 D:K7 C:7642,
Bidpractice/Set7,18,West,Calm,Calm,S:A62 H:AT4 D:K75 C:K862,,S:K7 H:K9 D:AQJT4 C:AQJ7,
Bidpractice/Set7,19,West,Calm,Calm,S:6 H:K4 D:KJ974 C:AQJ92,,S:AK5 H:7 D:QT653 C:KT84,
Bidpractice/Set7,20,West,Calm,Calm,S:K4 H:KQT95 D:A76 C:A54,,S:AQJ73 H:AJ86 D:53 C:87,
Bidpractice/Set7,21,West,Calm,Calm,S:A62 H:KQJ7 D:6 C:KQJT9,,S:K53 H:AT952 D:A94 C:A4,
Bidpractice/Set7,22,West,Calm,Calm,S:87 H:Q974 D:KQ5 C:AT83,,S:AKQ5 H:AJ652 D:6 C:KQJ,
Bidpractice/Set7,23,West,Calm,Calm,S:AJ6 H:K5 D:AQ62 C:A974,,S:K42 H:AQJ8742 D:K C:K3,
Bidpractice/Set7,24,West,Calm,Calm,S:Q63 H:AT7 D:952 C:AT86,,S:AK H:KQ4 D:KQJ3 C:KQJ5,
Bidpractice/Set8,1,West,Calm,Calm,S:KQJ96 H:4 D:KQJ7 C:AKQ,,S:A84 H:A873 D:T95 C:752,
Bidpractice/Set8,2,West,Calm,Calm,S:KJ H:QJ85 D:QT97 C:Q42,,S:AQ7 H:KT742 D:KJ3 C:AK,
Bidpractice/Set8,3,West,Calm,Calm,S:KT74 H:KQJ84 D:A6 C:A3,,S:AQ8632 H:5 D:KQ7 C:KQ5,
Bidpractice/Set8,4,West,Calm,Calm,S:A75 H:QT83 D:A854 C:92,,S:6 H:AK9754 D:6 C:KQJT3,
Bidpractice/Set8,5,West,Calm,Calm,S:AK9842 H:KQT6 D:84 C:A,,S:QJ73 H:AJ5 D:T632 C:K4,
Bidpractice/Set8,6,West,Calm,Calm,S:AJ7 H:J6 D:QJT87 C:A64,,S:6 H:KQ872 D:AK963 C:KQ,
Bidpractice/Set8,7,West,Calm,Calm,S:KQ7 H:J6 D:A64 C:QJT87,,S:6 H:KQ872 D:KQ C:AK963,
Bidpractice/Set8,8,West,Calm,Calm,S:KQJ8752 H:4 D:K6 C:AK5,,S:A96 H:QJT3 D:AQJ C:QJ9,
Bidpractice/Set8,9,West,Calm,Calm,S:AJT5 H:AK D:K5 C:AKQJ4,,S:KQ8743 H:Q75 D: C:9762,
Bidpractice/Set8,10,West,Calm,Calm,S:A6 H:AQ8752 D:KQ3 C:87,,S:KQ3 H:KT93 D:A6 C:KQ96,
Bidpractice/Set8,11,West,Calm,Calm,S:AQ64 H:AKQ D:A5 C:KJ63,,S:KT7532 H:8 D:K86 C:AQ4,
Bidpractice/Set8,12,West,Calm,Calm,S:AK753 H:8 D:KQ72 C:KQ4,,S:Q86 H:QJ3 D:AJ5 C:AJ65,
Bidpractice/Set8,13,West,Calm,Calm,S:K93 H:AT6 D:A9862 C:K9,,S:AQJ652 H:K82 D:Q C:A85,
Bidpractice/Set8,14,West,Calm,Calm,S:AK H:QJ3 D:AKQ5 C:A962,,S:95 H:AK98742 D:73 C:87,
Bidpractice/Set8,15,West,Calm,Calm,S:QT875 H:K6 D:AK3 C:AKJ,,S:J9643 H:AQ3 D:Q7 C:Q53,
Bidpractice/Set8,16,West,Calm,Calm,S:KQ5 H:AQ96 D:764 C:K96,,S:AJ6 H:K75 D:KQ53 C:AJ5,
Bidpractice/Set8,17,West,Calm,Calm,S:K5 H:AK9762 D:K8 C:764,,S:A972 H:QJ53 D:QJ753 C:,
Bidpractice/Set8,18,West,Calm,Calm,S:AK63 H:KQT4 D:KQ85 C:2,,S:Q982 H:A95 D:A64 C:KQJ,
Bidpractice/Set8,19,West,Calm,Calm,S:AK63 H:KQT4 D:KQ85 C:2,,S:J982 H:A95 D:AJ4 C:KQJ,
Bidpractice/Set8,20,West,Calm,Calm,S:AK4 H:J95 D:AK76 C:A54,,S:732 H:AKQ864 D:53 C:87,
Bidpractice/Set8,21,West,Calm,Calm,S:AQJ862 H:KQ7 D:KQJ C:A,,S:K53 H:A952 D:854 C:654,
Bidpractice/Set8,22,West,Calm,Calm,S:A72 H:Q74 D:985 C:9843,,S:KQJ5 H:AK652 D:6 C:AKQ,
Bidpractice/Set8,23,West,Calm,Calm,S:A72 H:J9874 D:85 C:843,,S:KQJ5 H:AK652 D:6 C:AKQ,
Bidpractice/Set8,24,West,Calm,Calm,S:AK963 H:AJ75 D:KQ2 C:6,,S:85 H:KQ964 D:73 C:AK85,
Bidpractice/Set9,1,West,Calm,Calm,S:A73 H:QJT82 D:K86 C:Q4,,S:K42 H:AK75 D:A2 C:8753,
Bidpractice/Set9,2,West,Calm,Calm,S:K854 H:KQ84 D:T52 C:KQ,,S:AJT96 H:A62 D:AQ C:T52,
Bidpractice/Set9,3,West,Calm,Calm,S:AJT762 H:KT D:AJ6 C:J4,,S:KQ53 H:QJ5 D:KQ C:9732,
Bidpractice/Set9,4,West,Calm,Calm,S:K9652 H:A76 D:Q5 C:KQ8,,S:AQJ743 H:KQJ5 D:J3 C:7,
Bidpractice/Set9,5,West,Calm,Calm,S:K9652 H:A76 D:A5 C:Q98,,S:AQJ743 H:KQJ5 D:J3 C:7,
Bidpractice/Set9,6,West,Calm,Calm,S:KQ H:K875 D:A9 C:KQT92,,S:A5 H:AJT962 D:KQ7 C:63,
Bidpractice/Set9,7,West,Calm,Calm,S:AQT64 H:KQJ7 D:KJ C:J5,,S:KJ972 H:A95 D:Q5 C:KQT,
Bidpractice/Set9,8,West,Calm,Calm,S:A763 H:AQ84 D:94 C:KQ2,,S:KQJ85 H:KJ7 D:Q85 C:84,
Bidpractice/Set9,9,West,Calm,Calm,S:Q84 H:AK842 D:4 C:KJ95,,S:A765 H:QJT7 D:KQ75 C:4,
Bidpractice/Set9,10,West,Calm,Calm,S:KJ75 H:K6 D:KQ98 C:J83,,S:AQ9864 H:QJ7 D:J2 C:KQ,
Bidpractice/Set9,11,West,Calm,Calm,S:KQ H:AJT976 D:97 C:A96,,S:A983 H:KQ83 D:AK4 C:72,
Bidpractice/Set9,12,West,Calm,Calm,S:K763 H:J83 D:KQ C:AK83,,S:AQ984 H:AK4 D:98 C:QJ2,
Bidpractice/Set9,13,West,Calm,Calm,S:KQJ H:KQJ84 D:94 C:J65,,S:3 H:A953 D:AJT2 C:KQ94,
Bidpractice/Set9,14,West,Calm,Calm,S:764 H:KQJ84 D:K4 C:A65,,S:3 H:A953 D:AJT2 C:KQ94,
Bidpractice/Set9,15,West,Calm,Calm,S:A75 H:QJT76 D:J8 C:KQ3,,S:KQ H:AK8 D:7543 C:JT65,
Bidpractice/Set9,16,West,Calm,Calm,S:KQJ H:A873 D:62 C:AJ92,,S:3 H:KJ9652 D:KQJ C:KQ5,
Bidpractice/Set9,17,West,Calm,Calm,S:6 H:AK972 D:87 C:KQ865,,S:AQ9 H:QJ83 D:QJ96 C:J2,
Bidpractice/Set9,18,West,Calm,Calm,S:QJ84 H:K875 D:AJ4 C:64,,S:AK9765 H:J9 D:K75 C:AQ,
Bidpractice/Set9,19,West,Calm,Calm,S:KQ954 H:AQ8 D:Q97 C:QJ,,S:JT863 H:KJ7 D:AK3 C:K5,
Bidpractice/Set9,20,West,Calm,Calm,S:KJ96 H:KQ98 D:Q94 C:A5,,S:AQ8752 H:A3 D:J62 C:KQ,
Bidpractice/Set9,21,West,Calm,Calm,S:KJ84 H:AK943 D:A96 C:7,,S:AQ963 H:QJ75 D:KQ C:QJ,
Bidpractice/Set9,22,West,Calm,Calm,S:K973 H:A42 D:AK82 C:K8,,S:AQJ86 H:85 D:3 C:AQ963,
Bidpractice/Set9,23,West,Calm,Calm,S:A95 H:KQJ72 D:AQ C:964,,S:KQJ H:AT93 D:K8754 C:8,
Bidpractice/Set9,24,West,Calm,Calm,S:AJ53 H:A6 D:KJ72 C:874,,S:KQ9762 H:KQJ2 D:A8 C:5,
Blackwood,1,West,Calm,Calm,S:9 H:QJT75 D:AKQ3 C:KQ4,,S:AK H:K942 D:JT85 C:863,
Blackwood,2,West,Calm,Calm,S:K95 H:A7 D:KQ3 C:KQJ64,,S:QJ8 H:KQ2 D:AT986 C:A9,
Blackwood,3,West,Calm,Calm,S:AQJ H:QJT5 D:975 C:KQJ,,S:K8 H:K2 D:KQJT843 C:A3,
Blackwood,4,West,Calm,Calm,S:KQ7 H:A65 D:QT83 C:KJ4,,S:A98 H:KQJT D:KJ6 C:AQ3,
Blackwood,5,West,Calm,Calm,S:84 H:AJT863 D:63 C:A75,,S:AK H:K942 D:KQJT54 C:8,
Blackwood,6,West,Calm,Calm,S:K5 H:A985 D:AQ C:KQJ54,,S:A986 H:KQJT D:KT86 C:3,
Blackwood,7,West,Calm,Calm,S:QT6 H:AQ5 D:T87 C:AQ52,,S:AK H:KT D:KQJ94 C:KT83,
Blackwood,8,West,Calm,Calm,S:T92 H:AKQT5 D:AK C:KQJ,,S:AQJ873 H:6 D:T86 C:A63,
Blackwood,9,West,Calm,Calm,S:642 H:AQ9742 D: C:8542,,S:AK H:K853 D:KQJ4 C:A93,
Blackwood,10,West,Calm,Calm,S:KQ4 H:KQJ3 D:KQJ5 C:AK,,S:AT7 H:952 D:AT86 C:Q63,
Blackwood,11,West,Calm,Calm,S:AT H:AK76 D:A85 C:AKJ5,,S:KQJ8643 H:3 D:KQJ4 C:7,
Blackwood,12,West,Calm,Calm,S:AQJ2 H:KQJ D:J6 C:KQJ8,,S:KT983 H:2 D:AKT4 C:A73,
Blackwood,13,West,Calm,Calm,S:QT92 H:AJ43 D:Q7 C:QT6,,S:AKJ83 H:KQ76 D:98 C:AK,
Blackwood,14,West,Calm,Calm,S:Q85 H:AK4 D:KJT C:KT43,,S:AK43 H:QJ86 D:A9 C:QJ6,
Blackwood,15,West,Calm,Calm,S:964 H:AJ953 D:AQJ3 C:7,,S:KQJ83 H:K8764 D:7 C:AK,
Blackwood,16,West,Calm,Calm,S:KQ72 H:Q4 D:AQ84 C:A52,,S:AT643 H:K8 D:KJ5 C:KJ6,
Blackwood,17,West,Calm,Calm,S:KQJ H:AJ4 D:AT53 C:JT8,,S:A53 H:KQ5 D:KQJ874 C:9,
Blackwood,18,West,Calm,Calm,S:KT742 H:AK D:A C:KJ863,,S:AQJ9853 H:964 D:873 C:,
Blackwood,19,West,Calm,Calm,S:KQJ H:J97 D:KQJ C:AQJ7,,S:A7 H:KQT86543 D:4 C:K6,
Blackwood,20,West,Calm,Calm,S:KJ H:AK7532 D:K6 C:873,,S:A843 H:QJ986 D:A984 C:,
Cue-bid,1,East,2H,1S-2H,S:AQ876 H:73 D:KQJ7 C:Q2,,S:KT93 H:64 D:A64 C:KJ98,
Cue-bid,2,West,2C,1S-2C,S:KQ63 H:A873 D:Q8 C:842,,S:AT984 H:964 D:AK7 C:A5,
Cue-bid,3,East,1S,1H-1S,S:742 H:AK654 D:AJ3 C:43,,S:85 H:Q973 D:KQ4 C:QJ92,
Cue-bid,4,West,1S,1H-1S,S:A3 H:Q874 D:J62 C:8742,,S:964 H:AKJ53 D:974 C:AK,
Cue-bid,5,East,2H,1S-2H,S:AQ876 H:73 D:KQJ7 C:92,,S:KT93 H:64 D:A64 C:T863,
Cue-bid,6,West,1S,1H-1S,S:843 H:KT64 D:AQ5 C:Q93,,S:J6 H:QJ975 D:J74 C:AK5,
Cue-bid,7,West,1H,1H,S:AKT94 H:853 D:653 C:K9,,S:QJ86 H:7 D:AKQ4 C:8632,
Cue-bid,8,West,2H,1S-2H,S:JT98 H:J94 D:A862 C:AJ,,S:AKQ642 H:8 D:KQ4 C:KQ5,
